15	1	-2	207.2	4.71239	8
16	1	-2	206.4	4.71239	8
17	1	-2	205.6	4.71239	8
18	1	-2	204.8	4.71239	8
19	1	-2	204	4.71239	8
20	1	-2	203.2	4.71239	8
21	1	-2	202.4	4.71239	8
22	1	-2	201.6	4.71239	8
23	1	-2	200.8	4.71239	8
24	1	-2	200	4.71239	8
25	1	-2	199.2	4.71239	8
26	1	-2	198.4	4.71239	8
27	1	-2	197.6	4.71239	8
28	1	-2	196.8	4.71239	8
29	1	-2	196	4.71239	8
30	1	-2	195.2	4.71239	8
31	1	-2	194.4	4.71239	8
32	1	-2	193.6	4.71239	8
33	1	-2	192.8	4.71239	8
34	1	-2	192	4.71239	8
35	1	-2	191.2	4.71239	8
36	1	-2	190.4	4.71239	8
37	1	-2	189.6	4.71239	8
38	1	-2	188.8	4.71239	8
39	1	-2	188	4.71239	8
40	1	-2	187.2	4.71239	8
41	1	-2	186.4	4.71239	8
41	2	207.2	6	3.14159	8
42	1	-2	185.6	4.71239	8
42	2	206.4	6	3.14159	8
43	1	-2	184.8	4.71239	8
43	2	205.6	6	3.14159	8
44	1	-2	184	4.71239	8
44	2	204.8	6	3.14159	8
45	1	-2	183.2	4.71239	8
45	2	204	6	3.14159	8
46	1	-2	182.4	4.71239	8
46	2	203.2	6	3.14159	8
46	3	207.2	2	3.14159	8
47	1	-2	181.6	4.71239	8
47	2	202.4	6	3.14159	8
47	3	206.4	2	3.14159	8
48	1	-2	180.8	4.71239	8
48	2	201.6	6	3.14159	8
48	3	205.6	2	3.14159	8
49	1	-2	180	4.71239	8
49	2	200.8	6	3.14159	8
49	3	204.8	2	3.14159	8
50	1	-2	179.2	4.71239	8
50	2	200	6	3.14159	8
50	3	204	2	3.14159	8
51	1	-2	178.4	4.71239	8
51	2	199.2	6	3.14159	8
51	3	203.2	2	3.14159	8
52	1	-2	177.6	4.71239	8
52	2	198.4	6	3.14159	8
52	3	202.4	2	3.14159	8
53	1	-2	176.8	4.71239	8
53	2	197.6	6	3.14159	8
53	3	201.6	2	3.14159	8
54	1	-2	176	4.71239	8
54	2	196.8	6	3.14159	8
54	3	200.8	2	3.14159	8
55	1	-2	175.2	4.71239	8
55	2	196	6	3.14159	8
55	3	200	2	3.14159	8
55	4	6	-207.2	1.5708	8
56	1	-2	174.4	4.71239	8
56	2	195.2	6	3.14159	8
56	3	199.2	2	3.14159	8
56	4	6	-206.4	1.5708	8
56	5	2	-207.2	1.5708	8
57	1	-2	173.6	4.71239	8
57	2	194.4	6	3.14159	8
57	3	198.4	2	3.14159	8
57	4	6	-205.6	1.5708	8
57	5	2	-206.4	1.5708	8
